id,title,season
21877,High Score Girl,Summer 2018
25777,Shingeki no Kyojin Season 2,Spring 2017
27833,Durarara!!x2 Ketsu,Winter 2016
28013,Macross Δ,Spring 2016
28391,Ao no Kanata no Four Rhythm,Winter 2016
28623,Koutetsujou no Kabaneri,Spring 2016
28735,Shouwa Genroku Rakugo Shinjuu,Winter 2016
28833,Chain Chronicle: Haecceitas no Hikari,Winter 2017
29758,Taboo Tattoo,Summer 2016
30015,ReLIFE,Summer 2016
30016,Nanbaka,Fall 2016
30484,Steins;Gate 0,Spring 2018
30485,ChäoS;Child,Winter 2017
30652,Long Riders!,Fall 2016
30654,Ansatsu Kyoushitsu 2nd Season,Winter 2016
30727,Saenai Heroine no Sodatekata ♭,Spring 2017
30736,Shingeki no Bahamut: Virgin Soul,Spring 2017
30749,Saijaku Muhai no Bahamut,Winter 2016
30795,Bakuon!!,Spring 2016
30806,Schwarzesmarken,Winter 2016
30831,Kono Subarashii Sekai ni Shukufuku wo!,Winter 2016
30895,HaruChika: Haruta to Chika wa Seishun suru,Winter 2016
30911,Tales of Zestiria the Cross,Summer 2016
31043,Boku dake ga Inai Machi,Winter 2016
31049,Beyblade Burst,Spring 2016
31080,Anne Happy♪,Spring 2016
31098,Ushio to Tora (TV) 2nd Season,Spring 2016
31109,Hatsukoi Monster,Summer 2016
31157,ClassicaLoid,Fall 2016
31163,Dimension W,Winter 2016
31173,Akagami no Shirayuki-hime 2nd Season,Winter 2016
31178,Uta no☆Prince-sama♪ Maji Love Legend Star,Fall 2016
31223,Phantasy Star Online 2 The Animation,Winter 2016
31229,Servamp,Summer 2016
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Spring 2016
31338,Hundred,Spring 2016
31339,Drifters,Fall 2016
31370,Tonkatsu DJ Agetarou,Spring 2016
31376,Flying Witch,Spring 2016
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,Spring 2016
31405,Joker Game,Spring 2016
31414,Nijiiro Days,Winter 2016
31417,Binan Koukou Chikyuu Boueibu LOVE! LOVE!,Summer 2016
31422,Minami Kamakura Koukou Joshi Jitenshabu,Winter 2017
31430,Terra Formars: Revenge,Spring 2016
31433,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,Spring 2018
31439,Wagamama High Spec,Spring 2016
31442,Musaigen no Phantom World,Winter 2016
31452,Norn9: Norn+Nonet,Winter 2016
31456,Code:Realize - Sousei no Himegimi,Fall 2017
31478,Bungou Stray Dogs,Spring 2016
31498,Pan de Peace!,Spring 2016
31500,High School Fleet,Spring 2016
31537,Manaria Friends,Winter 2019
31540,Sekkou Boys,Winter 2016
31559,Prince of Stride: Alternative,Winter 2016
31564,Sansha Sanyou,Spring 2016
31580,Ajin,Winter 2016
31588,All Out!!,Fall 2016
31610,Kyoukai no Rinne (TV) 2nd Season,Spring 2016
31621,Ooyasan wa Shishunki!,Winter 2016
31629,Granblue Fantasy The Animation,Spring 2017
31630,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",Spring 2016
31631,Monster Hunter Stories: Ride On,Fall 2016
31633,Sushi Police,Winter 2016
31636,Dagashi Kashi,Winter 2016
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",Winter 2016
31646,3-gatsu no Lion,Fall 2016
31670,Kaitou Joker 3rd Season,Spring 2016
31680,Super Lovers,Spring 2016
31706,Fate/kaleid liner Prisma☆Illya 3rei!!,Summer 2016
31710,Divine Gate,Winter 2016
31716,Rewrite,Summer 2016
31722,Nanatsu no Taizai: Seisen no Shirushi,Summer 2016
31733,Bishoujo Senshi Sailor Moon Crystal Season III,Spring 2016
31737,Gakusen Toshi Asterisk 2nd Season,Spring 2016
31741,Magi: Sinbad no Bouken (TV),Spring 2016
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,Summer 2016
31771,Amanchu!,Summer 2016
31783,Yowamushi Pedal: New Generation,Winter 2017
31790,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,Winter 2016
31793,Mahou Shoujo Nante Mou Ii Desukara.,Winter 2016
31798,Kiznaiver,Spring 2016
31804,Kuma Miko,Spring 2016
31815,"Kono Danshi, Mahou ga Oshigoto Desu.",Winter 2016
31821,Arslan Senki (TV): Fuujin Ranbu,Summer 2016
31845,Masou Gakuen HxH,Summer 2016
31848,Ojisan to Marshmallow,Winter 2016
31859,Hai to Gensou no Grimgar,Winter 2016
31884,Mahoutsukai Precure!,Winter 2016
31890,Nurse Witch Komugi-chan R,Winter 2016
31904,Big Order (TV),Spring 2016
31914,Shoujo-tachi wa Kouya wo Mezasu,Winter 2016
31931,Full Metal Panic! Invisible Victory,Spring 2018
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,Spring 2016
31952,Kono Bijutsubu ni wa Mondai ga Aru!,Summer 2016
31953,New Game!,Summer 2016
31964,Boku no Hero Academia,Spring 2016
31988,Hibike! Euphonium 2,Fall 2016
31994,Yami Shibai 3,Winter 2016
32011,Hakuouki: Otogisoushi,Spring 2016
32023,Bubuki Buranki,Winter 2016
32032,Seikaisuru Kado,Spring 2017
32038,Show By Rock!! #,Fall 2016
32039,Show By Rock!! Short!!,Summer 2016
32083,Luck & Logic,Winter 2016
32084,"Watashitachi, Luck Logic-bu!",Winter 2016
32093,Tanaka-kun wa Itsumo Kedaruge,Spring 2016
32094,Reikenzan: Hoshikuzu-tachi no Utage,Winter 2016
32105,Sousei no Onmyouji,Spring 2016
32171,Ange Vierge,Summer 2016
32175,Shounen Maid,Spring 2016
32182,Mob Psycho 100,Summer 2016
32189,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Summer 2016
32212,Ensemble Stars!,Summer 2019
32214,Koukaku no Pandora,Winter 2016
32228,Teekyuu 7,Winter 2016
32245,Kuromukuro,Spring 2016
32262,Renai Boukun,Spring 2017
32271,Dies Irae,Fall 2017
32274,Ketsuekigata-kun! 4,Winter 2016
32282,Shokugeki no Souma: Ni no Sara,Summer 2016
32301,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,Summer 2016
32309,Tabi Machi Late Show,Winter 2016
32313,Concrete Revolutio: Choujin Gensou - The Last Song,Spring 2016
32353,Bonobono (TV 2016),Spring 2016
32360,Qualidea Code,Summer 2016
32370,D.Gray-man Hallow,Summer 2016
32379,Berserk,Summer 2016
32400,KochinPa!,Winter 2016
32402,Mim Mam Mint,Winter 2016
32407,Clockwork Planet,Spring 2017
32438,Mayoiga,Spring 2016
32447,Nora to Oujo to Noraneko Heart,Summer 2017
32454,Usakame,Spring 2016
32483,Cheer Danshi!!,Summer 2016
32491,Kanojo to Kanojo no Neko: Everything Flows,Winter 2016
32494,Days (TV),Summer 2016
32526,Love Live! Sunshine!!,Summer 2016
32542,Sakamoto Desu ga?,Spring 2016
32555,Stella no Mahou,Fall 2016
32568,Kamiwaza Wanda,Spring 2016
32571,Shounen Ashibe: Go! Go! Goma-chan,Spring 2016
32572,Neko Neko Nihonshi,Spring 2016
32582,Duel Masters VSRF,Spring 2016
32585,Telemonster,Winter 2016
32595,Seisen Cerberus: Ryuukoku no Fatalités,Spring 2016
32596,The Snack World (TV),Spring 2017
32601,12-sai.: Chicchana Mune no Tokimeki,Spring 2016
32603,Okusama ga Seitokaichou!+!,Fall 2016
32606,Onigiri,Spring 2016
32607,Gi(a)rlish Number,Fall 2016
32608,Endride,Spring 2016
32615,Youjo Senki,Winter 2017
32648,Handa-kun,Summer 2016
32663,Tama & Friends: Uchi no Tama Shirimasen ka?,Fall 2016
32664,Bananya,Summer 2016
32670,Battle Spirits: Double Drive,Spring 2016
32673,Udon no Kuni no Kiniro Kemari,Fall 2016
32681,Uchuu Patrol Luluco,Spring 2016
32682,Kagewani: Shou,Spring 2016
32686,Keijo!!!!!!!!,Fall 2016
32691,Flowering Heart,Winter 2016
32696,Fukigen na Mononokean,Summer 2016
32697,Ozmafia!!,Summer 2016
32717,Aikatsu Stars!,Spring 2016
32729,Orange,Summer 2016
32772,Puzzle & Dragons Cross,Summer 2016
32785,Future Card Buddyfight Triple D,Spring 2016
32792,Mobile Suit Gundam Unicorn RE:0096,Spring 2016
32802,Cardfight!! Vanguard G: Stride Gate-hen,Spring 2016
32805,Nyanbo!,Fall 2016
32828,Amaama to Inazuma,Summer 2016
32829,Nobunaga no Shinobi,Fall 2016
32830,Chou Shounen Tanteidan Neo,Winter 2017
32836,Senki Zesshou Symphogear AXZ,Summer 2017
32843,Senki Zesshou Symphogear XV,Summer 2019
32866,Brave Witches,Fall 2016
32867,Bungou Stray Dogs 2nd Season,Fall 2016
32876,Nameko: Sekai no Tomodachi,Spring 2016
32878,ēlDLIVE,Winter 2017
32881,Tiger Mask W,Fall 2016
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Spring 2017
32899,Watashi ga Motete Dousunda,Fall 2016
32901,Eromanga-sensei,Spring 2017
32906,Bishoujo Yuugi Unit Crane Game Girls,Spring 2016
32924,Urara Meirochou,Winter 2017
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Fall 2016
32936,Gin no Guardian,Spring 2017
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,Winter 2017
32944,CoCO & NiCO,Spring 2016
32947,Battery,Summer 2016
32948,Fune wo Amu,Fall 2016
32949,Kuzu no Honkai,Winter 2017
32951,Rokudenashi Majutsu Koushi to Akashic Records,Spring 2017
32956,Aware! Meisaku-kun,Spring 2016
32961,Regalia: The Three Sacred Stars,Summer 2016
32962,Occultic;Nine,Fall 2016
32977,Aggressive Retsuko,Spring 2016
32979,Flip Flappers,Fall 2016
32981,Hand Shakers,Winter 2017
32983,Natsume Yuujinchou Go,Fall 2016
32995,Yuri!!! on Ice,Fall 2016
32998,91 Days,Summer 2016
32999,"Neko mo, Onda-ke",Spring 2016
33002,Panpaka Pants W-O-New!,Spring 2016
33003,Mahou Shoujo Ikusei Keikaku,Fall 2016
33012,Island,Summer 2018
33018,Katsugeki/Touken Ranbu,Summer 2017
33019,Reikenzan: Eichi e no Shikaku,Winter 2017
33021,Ragnastrike Angels,Spring 2016
33023,Touken Ranbu: Hanamaru,Fall 2016
33026,Time Bokan 24,Fall 2016
33027,Infini-T Force,Fall 2017
33028,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,Summer 2016
33031,Shakunetsu no Takkyuu Musume,Fall 2016
33037,Tsukiuta. The Animation,Summer 2016
33041,Bubuki Buranki: Hoshi no Kyojin,Fall 2016
33044,Asa Da yo! Kaishain,Spring 2016
33047,Fate/Extra: Last Encore,Winter 2018
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,Fall 2016
33089,Kemono Friends,Winter 2017
33094,WWW.Working!!,Fall 2016
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Winter 2017
33113,Scared Rider Xechs,Summer 2016
33184,Battle Girl High School,Summer 2017
33188,Sore Ike! Sabuibo Mask,Spring 2016
33197,Lostorage Incited WIXOSS,Fall 2016
33203,Fukumenkei Noise,Spring 2017
33206,Kobayashi-san Chi no Maid Dragon,Winter 2017
33222,Fudanshi Koukou Seikatsu,Summer 2016
33240,Koneko no Chi: Ponponra Daibouken,Fall 2016
33244,Kiitarou Shounen no Youkai Enikki,Fall 2016
33253,Ajin 2nd Season,Fall 2016
33255,Saiki Kusuo no Ψ-nan,Summer 2016
33274,Onara Gorou,Summer 2016
33290,Gra-P & Rodeo II,Summer 2016
33299,Magic-Kyun! Renaissance,Fall 2016
33314,Digimon Universe: Appli Monsters,Fall 2016
33337,ACCA: 13-ku Kansatsu-ka,Winter 2017
33341,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,Summer 2016
33352,Violet Evergarden,Winter 2018
33354,Cardcaptor Sakura: Clear Card-hen,Winter 2018
33362,Starmyu 2nd Season,Spring 2017
33371,Atom: The Beginning,Spring 2017
33377,"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori",Fall 2016
33392,Gakuen Handsome,Fall 2016
33398,Neko Konogoro,Summer 2016
33417,Super Lovers 2,Winter 2017
33419,12-sai.: Chicchana Mune no Tokimeki 2nd Season,Fall 2016
33421,Hitori no Shita: The Outcast,Summer 2016
33433,Shuumatsu no Izetta,Fall 2016
33434,Heybot!,Fall 2016
33447,Piace: Watashi no Italian,Winter 2017
33462,Bernard-jou Iwaku.,Fall 2016
33473,Tokyo Futago Athletic,Winter 2017
33475,Busou Shoujo Machiavellianism,Spring 2017
33478,UQ Holder!: Mahou Sensei Negima! 2,Fall 2017
33479,Muzumuzu Eighteen,Spring 2016
33486,Boku no Hero Academia 2nd Season,Spring 2017
33487,Masamune-kun no Revenge,Winter 2017
33489,Little Witch Academia (TV),Winter 2017
33490,Kaitou Joker 4th Season,Fall 2016
33502,Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,Spring 2017
33506,Ao no Exorcist: Kyoto Fujouou-hen,Winter 2017
33531,Juushinki Pandora,Spring 2018
33532,Twin Angel Break,Spring 2017
33541,Bishoujo Yuugi Unit Crane Game Girls Galaxy,Fall 2016
33572,Idol Memories,Fall 2016
33573,BanG Dream!,Winter 2017
33589,ViVid Strike!,Fall 2016
33654,Hitorijime My Hero,Summer 2017
33668,Soushin Shoujo Matoi,Fall 2016
33690,Nazotokine,Fall 2016
33726,Saiyuuki Reload Blast,Summer 2017
33731,Gabriel DropOut,Winter 2017
33733,Inazuma Eleven: Ares no Tenbin,Spring 2018
33743,Fuuka,Winter 2017
33746,Anitore! XX: Hitotsu Yane no Shita de,Fall 2016
33771,Cheating Craft,Fall 2016
33775,Soul Buster,Fall 2016
33788,Marginal#4: Kiss kara Tsukuru Big Bang,Winter 2017
33795,Mahou Shoujo Nante Mou Ii Desukara. Second Season,Fall 2016
33797,ID-0,Spring 2017
33803,Sengoku Choujuu Giga: Kou,Fall 2016
33811,Teekyuu 8,Fall 2016
33814,Ao Oni The Animation,Fall 2016
33834,Sin: Nanatsu no Taizai,Spring 2017
33835,PJ Berri no Mogumogu Munyamunya,Summer 2016
33836,Seiren,Winter 2017
33840,Kabuki-bu!,Spring 2017
33850,Nil Admirari no Tenbin,Spring 2018
33889,Saredo Tsumibito wa Ryuu to Odoru,Spring 2018
33899,IDOLiSH7,Winter 2018
33933,Yasamura Yasashi no Yasashii Sekai,Fall 2016
33946,Mikan Seijin Arawaru,Summer 2016
33948,Hinako Note,Spring 2017
33966,Yume Oukoku to Nemureru 100-nin no Ouji-sama,Summer 2018
33975,3-Nen D-Gumi Glass no Kamen,Fall 2016
33983,Onihei,Winter 2017
33985,Bloodivores,Fall 2016
33988,Demi-chan wa Kataritai,Winter 2017
34009,To Be Hero,Fall 2016
34012,Isekai Shokudou,Summer 2017
34013,Hagane Orchestra,Fall 2016
34019,Tsugumomo,Spring 2017
34028,Idol Jihen,Winter 2017
34034,Pokemon Sun & Moon,Fall 2016
34051,Akiba's Trip The Animation,Winter 2017
34052,100% Pascal-sensei (TV),Spring 2017
34055,Berserk 2nd Season,Spring 2017
34076,Uchouten Kazoku 2,Spring 2017
34077,Cardfight!! Vanguard G: Next,Fall 2016
34086,Tales of Zestiria the Cross 2nd Season,Winter 2017
34088,Chiruran: Nibun no Ichi,Winter 2017
34096,Gintama.,Winter 2017
34102,Sakurada Reset,Spring 2017
34104,Knight's & Magic,Summer 2017
34106,Kyoukai no Rinne (TV) 3rd Season,Spring 2017
34126,Rewrite 2nd Season,Winter 2017
34134,One Punch Man 2nd Season,Spring 2019
34148,Nyanko Days,Winter 2017
34156,PePePePengiin,Fall 2016
34176,Zero kara Hajimeru Mahou no Sho,Spring 2017
34177,Tenshi no 3P!,Summer 2017
34207,Dochamon Junior 2,Fall 2016
34209,Meiji Tokyo Renka,Winter 2019
34233,Kimoshiba,Fall 2016
34234,Ohayou! Kokekkou-san,Fall 2016
34235,Pittanko! Nekozakana,Fall 2016
34257,Cinderella Girls Gekijou,Spring 2017
34262,Oushitsu Kyoushi Heine,Spring 2017
34279,Grancrest Senki,Winter 2018
34280,Gamers!,Summer 2017
34281,High School DxD Hero,Spring 2018
34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,Fall 2017
34289,Schoolgirl Strikers: Animation Channel,Winter 2017
34290,Kirakira☆Precure A La Mode,Winter 2017
34292,Kamigami no Ki,Fall 2016
34295,Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,Winter 2017
34309,Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,Winter 2017
34332,Hulaing Babies,Winter 2019
34337,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,Summer 2017
34338,Lost Song,Spring 2018
34350,Alice to Zouroku,Spring 2017
34368,Vatican Kiseki Chousakan,Summer 2017
34382,Citrus,Winter 2018
34383,Netsuzou TRap,Summer 2017
34392,One Room,Winter 2017
34393,Room Mate,Spring 2017
34402,Love Kome: We Love Rice,Spring 2017
34403,Hajimete no Gal,Summer 2017
34410,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,Fall 2016
34411,Taishou Mebiusline: Chicchai-san,Fall 2017
34427,Frame Arms Girl,Spring 2017
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,Fall 2017
34449,The Reflection,Summer 2017
34451,Kekkai Sensen & Beyond,Fall 2017
34456,Sentai Hero Sukiyaki Force: Gunma no Heiwa wo Negau Season,Winter 2017
34467,Yami Shibai 4,Winter 2017
34488,Gan Gan Ganko-chan,Winter 2017
34494,Sakura Quest,Spring 2017
34497,Death March kara Hajimaru Isekai Kyousoukyoku,Winter 2018
34501,Kenka Banchou Otome: Girl Beats Boys,Spring 2017
34502,Inazma Delivery,Winter 2017
34503,KochinPa! Dainiki,Winter 2017
34522,"Wake Up, Girls! Shin Shou",Fall 2017
34525,Centaur no Nayami,Summer 2017
34542,Inuyashiki,Fall 2017
34543,Dive!!,Summer 2017
34547,Shoukoku no Altair,Summer 2017
34550,Warau Salesman New,Spring 2017
34561,Re:Creators,Spring 2017
34565,Jikan no Shihaisha,Summer 2017
34566,Boruto: Naruto Next Generations,Spring 2017
34572,Black Clover,Fall 2017
34577,Nanatsu no Taizai: Imashime no Fukkatsu,Winter 2018
34580,Nana Maru San Batsu,Summer 2017
34591,Natsume Yuujinchou Roku,Spring 2017
34599,Made in Abyss,Summer 2017
34607,Lostorage Conflated WIXOSS,Spring 2018
34612,Saiki Kusuo no Ψ-nan 2,Winter 2018
34618,Blend S,Fall 2017
34620,Kono Yo no Hate de Koi wo Utau Shoujo YU-NO,Spring 2019
34636,Ballroom e Youkoso,Summer 2017
34662,Fate/Apocrypha,Summer 2017
34664,Capsule Boy,Spring 2016
34667,Kemy Tamheomdae,Summer 2016
34669,Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao 2nd Season,Spring 2017
34712,Kujira no Kora wa Sajou ni Utau,Fall 2017
34725,Kaito x Ansa,Summer 2017
34738,Sengoku Choujuu Giga: Otsu,Winter 2017
34741,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV),Spring 2017
34745,Mahoujin Guruguru (2017),Summer 2017
34754,Rilu Rilu Fairilu: Yousei no Door,Winter 2016
